0.wav,Angry
0.wav,Angry
0.wav,Angry
0.wav,Neutral
0.wav,Neutral
0.wav,Happy
0.wav,Angry
0.wav,Neutral
0.wav,Neutral
0.wav,Happy
1.wav,Angry
1.wav,Neutral
1.wav,Neutral
1.wav,Angry
1.wav,Angry
1.wav,Angry
1.wav,Angry
1.wav,Angry
1.wav,Neutral
1.wav,Angry
10.wav,Happy
10.wav,Neutral
10.wav,Neutral
10.wav,Happy
10.wav,Neutral
10.wav,Neutral
10.wav,Angry
10.wav,Happy
10.wav,Neutral
10.wav,Happy
100.wav,Neutral
100.wav,Sad
100.wav,Neutral
100.wav,Happy
100.wav,Angry
100.wav,Neutral
100.wav,Happy
100.wav,Neutral
100.wav,Happy
100.wav,Neutral
1000.wav,Neutral
1000.wav,Neutral
1000.wav,Sad
1000.wav,Happy
1000.wav,Neutral
1000.wav,Neutral
1000.wav,Happy
1000.wav,Neutral
1000.wav,Neutral
1000.wav,Sad
1001.wav,Neutral
1001.wav,Happy
1001.wav,Neutral
1001.wav,Sad
1001.wav,Neutral
1001.wav,Neutral
1001.wav,Neutral
1001.wav,Sad
1001.wav,Sad
1001.wav,Neutral
1002.wav,Neutral
1002.wav,Neutral
1002.wav,Sad
1002.wav,Neutral
1002.wav,Happy
1002.wav,Neutral
1002.wav,Neutral
1002.wav,Neutral
1002.wav,Happy
1002.wav,Sad
1003.wav,Neutral
1003.wav,Neutral
1003.wav,Angry
1003.wav,Neutral
1003.wav,Neutral
1003.wav,Neutral
1003.wav,Neutral
1003.wav,Neutral
1003.wav,Happy
1003.wav,Neutral
1004.wav,Happy
1004.wav,Neutral
1004.wav,Happy
1004.wav,Happy
1004.wav,Neutral
1004.wav,Angry
1004.wav,Happy
1004.wav,Neutral
1004.wav,Neutral
1004.wav,Happy
1005.wav,Happy
1005.wav,Neutral
1005.wav,Happy
1005.wav,Happy
1005.wav,Neutral
1005.wav,Neutral
1005.wav,Neutral
1005.wav,Neutral
1005.wav,Neutral
1005.wav,Neutral
1006.wav,Happy
1006.wav,Happy
1006.wav,Happy
1006.wav,Neutral
1006.wav,Neutral
1006.wav,Happy
1006.wav,Neutral
1006.wav,Happy
1006.wav,Happy
1006.wav,Neutral
1007.wav,Happy
1007.wav,Neutral
1007.wav,Happy
1007.wav,Happy
1007.wav,Neutral
1007.wav,Happy
1007.wav,Neutral
1007.wav,Happy
1007.wav,Neutral
1007.wav,Happy
1008.wav,Angry
1008.wav,Neutral
1008.wav,Neutral
1008.wav,Neutral
1008.wav,Angry
1008.wav,Neutral
1008.wav,Neutral
1008.wav,Sad
1008.wav,Neutral
1008.wav,Happy
1009.wav,Neutral
1009.wav,Happy
1009.wav,Happy
1009.wav,Neutral
1009.wav,Neutral
1009.wav,Neutral
1009.wav,Neutral
1009.wav,Neutral
1009.wav,Neutral
1009.wav,Happy
101.wav,Happy
101.wav,Neutral
101.wav,Happy
101.wav,Neutral
101.wav,Happy
101.wav,Happy
101.wav,Neutral
101.wav,Happy
101.wav,Happy
101.wav,Sad
1010.wav,Neutral
1010.wav,Angry
1010.wav,Neutral
1010.wav,Angry
1010.wav,Neutral
1010.wav,Neutral
1010.wav,Neutral
1010.wav,Angry
1010.wav,Angry
1010.wav,Angry
1011.wav,Sad
1011.wav,Neutral
1011.wav,Happy
1011.wav,Neutral
1011.wav,Neutral
1011.wav,Neutral
1011.wav,Sad
1011.wav,Happy
1011.wav,Neutral
1011.wav,Neutral
1012.wav,Neutral
1012.wav,Happy
1012.wav,Neutral
1012.wav,Neutral
1012.wav,Happy
1012.wav,Happy
1012.wav,Neutral
1012.wav,Happy
1012.wav,Neutral
1012.wav,Happy
1013.wav,Neutral
1013.wav,Angry
1013.wav,Neutral
1013.wav,Neutral
1013.wav,Neutral
1013.wav,Neutral
1013.wav,Sad
1013.wav,Happy
1013.wav,Sad
1013.wav,Neutral
1014.wav,Neutral
1014.wav,Neutral
1014.wav,Sad
1014.wav,Neutral
1014.wav,Neutral
1014.wav,Neutral
1014.wav,Happy
1014.wav,Angry
1014.wav,Neutral
1014.wav,Sad
1015.wav,Neutral
1015.wav,Neutral
1015.wav,Sad
1015.wav,Angry
1015.wav,Happy
1015.wav,Happy
1015.wav,Angry
1015.wav,Neutral
1015.wav,Neutral
1015.wav,Angry
1016.wav,Neutral
1016.wav,Neutral
1016.wav,Neutral
1016.wav,Neutral
1016.wav,Neutral
1016.wav,Happy
1016.wav,Neutral
1016.wav,Happy
1016.wav,Neutral
1016.wav,Neutral
1017.wav,Neutral
1017.wav,Neutral
1017.wav,Neutral
1017.wav,Neutral
1017.wav,Neutral
1017.wav,Neutral
1017.wav,Neutral
1017.wav,Neutral
1017.wav,Neutral
1017.wav,Neutral
1018.wav,Neutral
1018.wav,Neutral
1018.wav,Neutral
1018.wav,Angry
1018.wav,Neutral
1018.wav,Neutral
1018.wav,Happy
1018.wav,Angry
1018.wav,Sad
1018.wav,Angry
1019.wav,Sad
1019.wav,Neutral
1019.wav,Happy
1019.wav,Neutral
1019.wav,Neutral
1019.wav,Neutral
1019.wav,Neutral
1019.wav,Happy
1019.wav,Sad
1019.wav,Neutral
102.wav,Neutral
102.wav,Happy
102.wav,Neutral
102.wav,Happy
102.wav,Happy
102.wav,Happy
102.wav,Neutral
102.wav,Neutral
102.wav,Happy
102.wav,Neutral
1020.wav,Neutral
1020.wav,Sad
1020.wav,Sad
1020.wav,Neutral
1020.wav,Neutral
1020.wav,Sad
1020.wav,Neutral
1020.wav,Neutral
1020.wav,Neutral
1020.wav,Happy
1021.wav,Neutral
1021.wav,Neutral
1021.wav,Sad
1021.wav,Happy
1021.wav,Neutral
1021.wav,Happy
1021.wav,Neutral
1021.wav,Neutral
1021.wav,Neutral
